"DayOfWeek","TimeOfDay","AvgSleep"
"Sunday","00",61.275
"Sunday","01",63.7045454545455
"Sunday","02",66.12
"Sunday","03",63.4313725490196
"Sunday","04",63.2941176470588
"Sunday","05",62.9
"Sunday","06",62.2553191489362
"Sunday","07",54.6190476190476
"Sunday","08",53.1935483870968
"Sunday","09",43.5
"Sunday","10",44
"Sunday","11",47
"Sunday","12",34.5
"Sunday","13",25
"Sunday","14",60.75
"Sunday","15",44.6
"Sunday","16",48.25
"Sunday","17",29.3333333333333
"Sunday","18",114
"Sunday","19",116
"Sunday","20",50.4
"Sunday","21",38.6
"Sunday","22",50.4615384615385
"Sunday","23",57.8823529411765
"Monday","00",58.5135135135135
"Monday","01",61.55
"Monday","02",61
"Monday","03",62.2045454545455
"Monday","04",60.7209302325581
"Monday","05",59.8717948717949
"Monday","06",54.1875
"Monday","07",52.0555555555556
"Monday","08",50
"Monday","09",42.6
"Monday","10",35
"Monday","11",15
"Monday","13",41
"Monday","14",56
"Monday","15",49
"Monday","16",37
"Monday","20",29.8333333333333
"Monday","21",41.8666666666667
"Monday","22",43.1081081081081
"Monday","23",58.5957446808511
"Tuesday","00",60.1
"Tuesday","01",59.1090909090909
"Tuesday","02",62.7833333333333
"Tuesday","03",61.0952380952381
"Tuesday","04",60.7258064516129
"Tuesday","05",58.8703703703704
"Tuesday","06",52.7441860465116
"Tuesday","07",55.2083333333333
"Tuesday","08",42.7647058823529
"Tuesday","09",53.6666666666667
"Tuesday","10",40.2857142857143
"Tuesday","11",15.4
"Tuesday","12",48
"Tuesday","13",62
"Tuesday","14",38.5
"Tuesday","15",66
"Tuesday","16",60
"Tuesday","17",60
"Tuesday","18",63
"Tuesday","19",62
"Tuesday","20",44.5
"Tuesday","21",43.8666666666667
"Tuesday","22",51.2
"Tuesday","23",56.5238095238095
"Wednesday","00",59.7234042553191
"Wednesday","01",63.16
"Wednesday","02",59.35
"Wednesday","03",61.625
"Wednesday","04",60.6153846153846
"Wednesday","05",62.3157894736842
"Wednesday","06",57.6041666666667
"Wednesday","07",54.0967741935484
"Wednesday","08",51.1818181818182
"Wednesday","09",51.6
"Wednesday","10",37.9166666666667
"Wednesday","11",42
"Wednesday","12",53.3333333333333
"Wednesday","13",41
"Wednesday","14",60
"Wednesday","15",61
"Wednesday","16",60
"Wednesday","17",62
"Wednesday","18",62
"Wednesday","19",62
"Wednesday","20",46.4
"Wednesday","21",41.8888888888889
"Wednesday","22",45.40625
"Wednesday","23",56.1590909090909
"Thursday","00",61.0204081632653
"Thursday","01",62.6153846153846
"Thursday","02",60.4210526315789
"Thursday","03",62.8965517241379
"Thursday","04",60.3166666666667
"Thursday","05",60.0192307692308
"Thursday","06",52.3414634146341
"Thursday","07",56.5
"Thursday","08",47.1764705882353
"Thursday","09",63.125
"Thursday","10",66.2
"Thursday","11",25.25
"Thursday","12",63
"Thursday","13",62
"Thursday","14",33
"Thursday","16",33
"Thursday","17",40
"Thursday","20",46.6
"Thursday","21",54.75
"Thursday","22",47.5416666666667
"Thursday","23",60.3142857142857
"Friday","00",59.9302325581395
"Friday","01",61.7555555555556
"Friday","02",59.5384615384615
"Friday","03",63.2592592592593
"Friday","04",62.8039215686275
"Friday","05",60.4489795918367
"Friday","06",52.5813953488372
"Friday","07",55.6086956521739
"Friday","08",57.4375
"Friday","09",40.0833333333333
"Friday","10",54.4
"Friday","11",56.6666666666667
"Friday","12",42
"Friday","13",32
"Friday","14",64
"Friday","15",9
"Friday","16",61
"Friday","17",19
"Friday","18",27
"Friday","19",68
"Friday","20",23.6666666666667
"Friday","21",56.2857142857143
"Friday","22",50.5294117647059
"Friday","23",59.4
"Saturday","00",61.7142857142857
"Saturday","01",58.8863636363636
"Saturday","02",63.8367346938776
"Saturday","03",64.5490196078431
"Saturday","04",64.3269230769231
"Saturday","05",66.3461538461538
"Saturday","06",58.36
"Saturday","07",56.9736842105263
"Saturday","08",48.7083333333333
"Saturday","09",43.2
"Saturday","10",74
"Saturday","11",51.75
"Saturday","12",80.5
"Saturday","13",56
"Saturday","14",38.3333333333333
"Saturday","15",40.4285714285714
"Saturday","16",56.5
"Saturday","17",24.3333333333333
"Saturday","19",16.5
"Saturday","20",32.25
"Saturday","21",51.0833333333333
"Saturday","22",54.4117647058824
"Saturday","23",60.3571428571429
